industry,score,a_weighted_rating,a_visibility,a_spread,a_volume,a_time,a_length,a_score
automotive-automotive-other,0.693456210768852,0.800508673406529,0.0,0.45,0.45,1.0,0.708812260536399,0.693456210768852
automotive-automotive-other,0.701797291947439,0.899243370723261,0.0,0.88,0.275,0.285714285714286,0.461538461538462,0.701797291947439
automotive-automotive-other,0.721534569224791,0.617104285874213,0.0,0.598076923076923,0.675,1.0,0.459302325581395,0.721534569224791
automotive-automotive-other,0.744119642857143,1.0,0.0,0.5,0.475,0.642857142857143,0.736842105263158,0.744119642857143
automotive-automotive-other,0.751384668241826,0.996440454544235,0.0,0.348245614035088,0.475,1.0,0.192982456140351,0.751384668241826
automotive-automotive-other,0.773063329326596,0.840841115691487,0.0,0.88,0.6,0.821428571428571,0.628571428571429,0.773063329326596
automotive-automotive-other,0.774763680197793,0.84931235014502,0.0,0.88,0.65,1.0,0.75,0.774763680197793
automotive-automotive-other,0.788172184460592,0.907483908788999,0.0,0.561494252873563,0.575,1.0,0.617391304347826,0.788172184460592
automotive-automotive-other,0.808466405465495,0.963082229444482,0.0,0.462857142857143,0.57,1.0,0.280898876404494,0.808466405465495
automotive-automotive-other,0.845101989662417,0.964802336509867,0.0,0.653333333333333,0.67,1.0,0.425287356321839,0.845101989662417
automotive-dealer,0.866585070352288,0.936721080497514,0.0,0.630924369747899,0.772727272727273,1.0,0.695876288659794,0.866585070352288
automotive-dealer,0.867890643244255,0.932931986640584,0.0,0.549521072796935,0.87,1.0,0.77593670697119,0.867890643244255
automotive-dealer,0.869550783024196,0.929892024556004,0.0,0.760108303249098,0.912121212121212,0.991341991341991,0.609195402298851,0.869550783024196
automotive-dealer,0.870004776105872,0.917984973019935,0.0,0.603711083437111,0.936060606060606,1.0,0.551498127340824,0.870004776105872
automotive-dealer,0.873616785587389,0.891387798851375,0.0,0.769761904761905,0.837437396472766,1.0,0.664536741214058,0.873616785587389
automotive-dealer,0.877413669930142,0.959963550183952,0.0,0.57590015128593,0.85,1.0,0.773933102652826,0.877413669930142
automotive-dealer,0.884247212993367,0.967524526976454,0.0,0.668571428571429,0.802424242424243,1.0,0.479057591623037,0.884247212993367
automotive-dealer,0.891174566176458,0.89627468513425,0.0,0.802226720647773,0.93,1.0,0.701704545454545,0.891174566176458
automotive-dealer,0.894174456681328,0.950425885502596,0.0,0.665223097112861,0.93,1.0,0.637339055793991,0.894174456681328
automotive-dealer,0.897303787427201,0.929892024556004,0.0,0.760108303249098,0.925900025900026,1.0,0.609195402298851,0.897303787427201
automotive-oem,0.727009607579329,0.949798472334844,0.0,0.41,0.41,0.535714285714286,0.857142857142857,0.727009607579329
automotive-oem,0.729600218756718,0.899196035154351,0.0,0.304490161001789,0.57,1.0,0.835755813953488,0.729600218756718
automotive-oem,0.730968241156926,0.875319939238088,0.0,0.416802721088435,0.435,1.0,0.592105263157895,0.730968241156926
automotive-oem,0.731135481534616,0.864990128673551,0.0,0.422345679012346,0.435,1.0,0.701030927835052,0.731135481534616
automotive-oem,0.739513642581737,0.89111501458004,0.0,0.391764705882353,0.405,1.0,0.21875,0.739513642581737
automotive-oem,0.740276306656272,0.983771466226903,0.0,0.38,0.38,1.0,0.161616161616162,0.740276306656272
automotive-oem,0.743330711224108,0.963329297193199,0.0,0.138974358974359,0.435,1.0,0.794285714285714,0.743330711224108
automotive-oem,0.758241294422664,0.988988089054702,0.0,0.38,0.38,0.857142857142857,0.448979591836735,0.758241294422664
automotive-oem,0.770649841452348,0.94588850138428,0.0,0.41,0.41,0.857142857142857,0.863905325443787,0.770649841452348
automotive-oem,0.810438250940747,0.934009696958765,0.0,0.6,0.535,0.964285714285714,0.675,0.810438250940747
automotive-parts,0.734693530985090,0.92525405130356,0.0,0.38,0.38,1.0,0.661290322580645,0.734693530985090
automotive-parts,0.735363375893981,0.797545435315269,0.0,0.546153846153846,0.575,1.0,0.661971830985916,0.735363375893981
automotive-parts,0.737248303386882,0.93594217577892,0.0,0.38,0.38,1.0,0.723404255319149,0.737248303386882
automotive-parts,0.740174580380515,0.876275748158679,0.0,0.88,0.4,0.5,0.75,0.740174580380515
automotive-parts,0.741625306367050,0.936202828165217,0.0,0.5,0.5,0.714285714285714,0.423076923076923,0.741625306367050
automotive-parts,0.747879095826262,0.672560432152162,0.0,0.788461538461538,0.875,1.0,0.584615384615385,0.747879095826262
automotive-parts,0.752292667541076,0.883950665931113,0.0,0.686666666666667,0.42,0.785714285714286,0.714285714285714,0.752292667541076
automotive-parts,0.785673265190331,0.7674226222001,0.0,0.9,0.82,0.714285714285714,0.880952380952381,0.785673265190331
automotive-parts,0.834787629399586,1.0,0.0,0.88,0.55,0.714285714285714,0.695652173913044,0.834787629399586
automotive-parts,0.841114920058615,0.821003553259781,0.0,0.88,0.88,0.964285714285714,0.622950819672131,0.841114920058615
automotive-rental,0.876743792677831,0.89253052204356,0.0,0.795833333333333,1.0,1.0,0.686320754716981,0.876743792677831
automotive-rental,0.876870535465283,0.842779861934515,0.0,0.963850415512465,1.0,1.0,0.697336561743341,0.876870535465283
automotive-rental,0.877131014832626,0.993022996243906,0.0,0.9,0.733333333333333,0.952380952380952,0.431818181818182,0.877131014832626
automotive-rental,0.879076705955946,0.894517907534495,0.0,0.900408163265306,0.95,1.0,0.642172523961661,0.879076705955946
automotive-rental,0.880669379889790,0.91051803210578,0.0,0.806933797909408,1.0,1.0,0.607250755287009,0.880669379889790
automotive-rental,0.882580683587374,0.91755257620107,0.0,0.9,0.9,1.0,0.632,0.882580683587374
automotive-rental,0.884636501970601,0.946302530895344,0.0,0.88,0.83,1.0,0.660194174757282,0.884636501970601
automotive-rental,0.892304736237020,0.924900768231814,0.0,0.907246376811594,0.933333333333333,1.0,0.618556701030928,0.892304736237020
automotive-rental,0.896234014069391,0.925887125824825,0.0,0.886890380313199,0.95,1.0,0.650485436893204,0.896234014069391
automotive-rental,0.897413369864721,0.945937496091779,0.0,0.910416666666667,0.933333333333333,1.0,0.54,0.897413369864721
automotive-repair-&-service,0.828281991330400,0.998756324326187,0.0,0.544776119402985,0.575,1.0,0.623655913978495,0.828281991330400
automotive-repair-&-service,0.832785714285715,1.0,0.0,0.88,0.65,0.714285714285714,0.678571428571429,0.832785714285715
automotive-repair-&-service,0.833356970071198,0.957454364212765,0.0,0.642857142857143,0.65,1.0,0.672727272727273,0.833356970071198
automotive-repair-&-service,0.856948053397619,0.971876132648372,0.0,0.88,0.825,0.714285714285714,0.613636363636364,0.856948053397619
automotive-repair-&-service,0.859398608523238,0.956502850975851,0.0,0.88,0.855,0.571428571428571,0.819444444444444,0.859398608523238
automotive-repair-&-service,0.859732466536009,0.936660589459948,0.0,0.88,0.85,0.857142857142857,0.7,0.859732466536009
automotive-repair-&-service,0.865803957290334,0.986682012496337,0.0,0.88,0.725,0.785714285714286,0.74468085106383,0.865803957290334
automotive-repair-&-service,0.887574294532462,0.936664157836857,0.0,0.9,0.87,0.857142857142857,0.68,0.887574294532462
automotive-tires,0.233711011043535,0.498489600609949,0.0,0.58,0.06,0.214285714285714,0.0,0.233711011043535
automotive-tires,0.267825491071429,1.0,0.0,0.3,0.0375,0.178571428571429,0.0,0.267825491071429
automotive-tires,0.285438829780477,0.251295433306448,0.0,0.58,0.2,0.035714285714286,0.555555555555556,0.285438829780477
automotive-tires,0.332685243141129,0.373872816944483,0.0,0.3,0.2,0.357142857142857,0.357142857142857,0.332685243141129
automotive-tires,0.449728399546734,0.355119640397676,0.0,0.511304347826087,0.32,0.857142857142857,0.407407407407407,0.449728399546734
automotive-tires,0.503465070750922,0.379189582612283,0.0,0.519230769230769,0.525,1.0,0.28,0.503465070750922
automotive-tires,0.503986532717704,0.322475617958306,0.0,0.549382716049383,0.6,1.0,0.235714285714286,0.503986532717704
automotive-tires,0.511728347205554,0.428811394759552,0.0,0.675172413793103,0.745,0.357142857142857,0.561224489795918,0.511728347205554
automotive-tires,0.691127551875885,0.940372803462331,0.0,0.448965517241379,0.43,0.321428571428572,0.741176470588235,0.691127551875885
automotive-tires,0.720441202403951,0.931835556995581,0.0,0.426511627906977,0.43,0.714285714285714,0.770992366412214,0.720441202403951
